LokaleSuche;EliteAnteil;Pheromon_Max;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
250;0.2;1.0;50;5;8;2;308;0.35478573420506304
250;0.2;1.5;50;5;8;2;315;0.30365940569516314
250;0.2;2.0;50;5;8;2;320;0.2928144269203359
250;0.2;2.5;50;5;8;2;312;0.28196944814550867
250;0.4;1.0;50;5;8;2;307;0.4105599107613175
250;0.4;1.5;50;5;8;2;318;0.20295603135748147
250;0.4;2.0;50;5;8;2;321;0.25408235986738137
250;0.4;2.5;50;5;8;2;336;0.2107024447680724
250;0.6000000000000001;1.0;50;5;8;2;320;0.1626746816224088
250;0.6000000000000001;1.5;50;5;8;2;324;0.20295603135748147
250;0.6000000000000001;2.0;50;5;8;2;328;0.15182970284758157
250;0.6000000000000001;2.5;50;5;8;2;336;0.2370402503640814
250;0.8;1.0;50;5;8;2;328;0.2897158615560995
250;0.8;1.5;50;5;8;2;345;0.17042109503299974
250;0.8;2.0;50;5;8;2;362;0.1781675084435906
250;0.8;2.5;50;5;8;2;360;0.21844885817866327
250;0.2;1.0;50;10;8;3;328;0.8442560641312109
250;0.2;1.5;50;10;8;3;326;0.8949344636152127
250;0.2;2.0;50;10;8;3;330;0.7336850107115708
250;0.2;2.5;50;10;8;3;340;0.7313814470986616
250;0.4;1.0;50;10;8;3;312;0.7106493745824791
250;0.4;1.5;50;10;8;3;346;0.6922208656792057
250;0.4;2.0;50;10;8;3;358;0.6242657390983851
250;0.4;2.5;50;10;8;3;346;0.5966229757434751
250;0.6000000000000001;1.0;50;10;8;3;343;0.6841583930340236
250;0.6000000000000001;1.5;50;10;8;3;347;0.6680334477436595
250;0.6000000000000001;2.0;50;10;8;3;372;0.702586901937297
250;0.6000000000000001;2.5;50;10;8;3;368;0.8189168643892101
250;0.8;1.0;50;10;8;3;353;0.6714887931630232
250;0.8;1.5;50;10;8;3;355;0.6737923567759324
250;0.8;2.0;50;10;8;3;382;0.7866669738084817
250;0.8;2.5;50;10;8;3;386;0.6772477021952961
250;0.2;1.0;50;20;8;4;329;0.7056846364704347
250;0.2;1.5;50;20;8;4;330;0.5873906800678763
250;0.2;2.0;50;20;8;4;327;0.8207153113170604
250;0.2;2.5;50;20;8;4;348;0.4886764130009137
250;0.4;1.0;50;20;8;4;333;0.6347082626288996
250;0.4;1.5;50;20;8;4;338;0.504992820780577
250;0.4;2.0;50;20;8;4;348;0.43891136927294083
250;0.4;2.5;50;20;8;4;330;0.642050646129748
250;0.6000000000000001;1.0;50;20;8;4;333;0.4552277770526041
250;0.6000000000000001;1.5;50;20;8;4;341;0.6183918548492363
250;0.6000000000000001;2.0;50;20;8;4;359;0.5914697820127921
250;0.6000000000000001;2.5;50;20;8;4;346;0.4723600052212505
250;0.8;1.0;50;20;8;4;339;0.6053387286255059
250;0.8;1.5;50;20;8;4;347;0.6355240830178828
250;0.8;2.0;50;20;8;4;368;0.5433363790627855
250;0.8;2.5;50;20;8;4;383;0.5433363790627855
