LokaleSuche;EliteAnteil;Pheromon_Max;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
500;0.4;3.0;100;20;8;3;149;1.0831558269124753
500;0.6000000000000001;3.0;100;20;8;3;156;0.8898183352270227
500;0.8;3.0;100;20;8;3;183;0.8284783278248109
500;0.9;3.0;100;20;8;3;188;0.9136296461173329
500;0.4;5.0;100;20;8;3;151;1.0632267949716723
500;0.6000000000000001;5.0;100;20;8;3;156;0.9188060180500088
500;0.8;5.0;100;20;8;3;190;0.8962888001428679
500;0.9;5.0;100;20;8;3;223;0.9182883808567414
500;0.4;7.0;100;20;8;3;160;1.0761677248033625
500;0.6000000000000001;7.0;100;20;8;3;151;0.9190648366466427
500;0.8;7.0;100;20;8;3;153;0.8861948748741494
500;0.9;7.0;100;20;8;3;215;0.8124315748335149
