LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
60;0.5;20;5;7;2;796;0.03690581635665781
60;0.75;20;5;7;2;789;0.03690581635665781
60;1.0;20;5;7;2;769;0.03690581635665781
60;0.5;20;10;7;3;896;0.0
60;0.75;20;10;7;3;892;0.0
60;1.0;20;10;7;3;897;0.0
60;0.5;20;20;7;4;956;0.0
60;0.75;20;20;7;4;957;0.0
60;1.0;20;20;7;4;957;0.0
150;0.5;50;5;7;1;424;0.2584558384128122
150;0.75;50;5;7;1;401;0.22110672881558505
150;1.0;50;5;7;1;424;0.18525158360224692
150;0.5;50;10;7;2;454;0.8048944768747193
150;0.75;50;10;7;2;454;0.789178266726538
150;1.0;50;10;7;2;454;0.8890884598114055
150;0.5;50;20;7;3;430;0.7348518103041831
150;0.75;50;20;7;3;452;0.7389162561576355
150;1.0;50;20;7;3;442;0.8868620852233007
300;0.5;100;5;7;4;232;0.47412040916217985
300;0.75;100;5;7;4;232;0.3094434166535312
300;1.0;100;5;7;4;232;0.5392445598519982
