LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
80;1.0;20;5;1;2;1006;0.0
80;1.0;20;5;2;2;1023;0.0
80;1.0;20;5;3;2;1036;0.0
80;1.0;20;5;4;2;1032;0.0
80;1.0;20;5;5;2;1009;0.0
80;1.0;20;5;6;2;1012;0.0
80;1.0;20;5;7;2;1033;0.0
80;1.0;20;5;8;2;1014;0.0
80;1.0;20;5;9;2;1041;0.0
80;1.0;20;5;10;2;1025;0.0
80;1.0;20;10;1;2;1151;0.0
80;1.0;20;10;2;2;1127;0.0
80;1.0;20;10;3;2;1127;0.0
80;1.0;20;10;4;2;1096;0.026723677177979688
80;1.0;20;10;5;2;1148;0.0
80;1.0;20;10;6;2;1181;0.005196154845414394
80;1.0;20;10;7;2;1085;0.0
80;1.0;20;10;8;2;1116;0.0
80;1.0;20;10;9;2;1114;0.0
80;1.0;20;10;10;2;1163;0.0
80;1.0;20;20;1;2;1209;0.0
80;1.0;20;20;2;2;1203;-0.003165759149043941
80;1.0;20;20;3;2;1203;0.0
80;1.0;20;20;4;2;1167;0.0
80;1.0;20;20;5;2;1180;0.0
80;1.0;20;20;6;2;1092;0.0
80;1.0;20;20;7;2;1154;0.0
80;1.0;20;20;8;2;1208;0.012341108231519191
80;1.0;20;20;9;2;1235;0.0
80;1.0;20;20;10;2;1195;0.0
200;1.0;50;5;1;2;348;0.24831117554520496
200;1.0;50;5;2;2;359;0.3317966937780779
200;1.0;50;5;3;2;356;0.3819143060048923
200;1.0;50;5;4;2;344;0.38775569927716486
200;1.0;50;5;5;2;345;0.4075813002275542
200;1.0;50;5;6;2;341;0.5308490594251877
200;1.0;50;5;7;2;353;0.2670851503674307
200;1.0;50;5;8;2;347;0.224645988907136
200;1.0;50;5;9;2;361;0.33799866704751025
200;1.0;50;5;10;2;361;0.4406691212709825
200;1.0;50;10;1;2;404;0.6280961479057742
200;1.0;50;10;2;2;381;0.6519124368535001
200;1.0;50;10;3;2;375;0.5039983033720481
200;1.0;50;10;4;2;407;0.3865503553955506
200;1.0;50;10;5;2;397;0.5904579226511677
200;1.0;50;10;6;2;379;0.6266951353222922
200;1.0;50;10;7;2;380;0.5523125280646609
200;1.0;50;10;8;2;396;0.32342787673039647
200;1.0;50;10;9;2;403;0.48338438959617025
200;1.0;50;10;10;2;396;0.3585978370649448
200;1.0;50;20;1;2;372;0.6603098927294399
200;1.0;50;20;2;2;397;0.5851581100566714
200;1.0;50;20;3;2;399;0.6739180824669695
200;1.0;50;20;4;2;396;0.47532838991807813
200;1.0;50;20;5;2;392;0.36454869208685187
200;1.0;50;20;6;2;398;0.5943400918450239
200;1.0;50;20;7;2;407;0.7004030161206448
200;1.0;50;20;8;2;405;0.5877222299208491
200;1.0;50;20;9;2;408;0.52502252436727
200;1.0;50;20;10;2;413;0.498248095406474
