LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
1;1.0;20;5;7;2;23144;0.6716858576911722
200;1.0;20;5;7;2;230;0.04428697962798937
1;1.0;20;10;7;3;33321;0.5554647933344226
200;1.0;20;10;7;3;270;0.0
1;1.0;20;20;7;4;43143;0.7107709130672498
200;1.0;20;20;7;4;290;0.0
1;1.0;50;5;7;1;22463;2.6517867814031315
500;1.0;50;5;7;1;127;0.3032747699294849
1;1.0;50;10;7;2;34479;2.6796138302649304
500;1.0;50;10;7;2;139;0.5916030534351145
1;1.0;50;20;7;3;46081;2.5581622201629033
500;1.0;50;20;7;3;139;0.7437935911817782
1;1.0;100;5;7;4;19070;2.2805896846663734
1000;1.0;100;5;7;4;72;0.6711520752619484
1;1.0;100;10;7;1;30327;4.288814076883664
1000;1.0;100;10;7;1;73;1.2138801869306712
1;1.0;100;20;7;2;41559;4.009291829826774
1000;1.0;100;20;7;2;70;1.2485564478661977
