LokaleSuche;EliteAnteil;Pheromon_Max;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
100;0.9;5.0;20;5;10;1;1060;0.030724325985098704
100;0.9;1.4000000000000001;20;5;10;1;742;0.007681081496274676
100;0.9;2.0;20;5;10;1;794;0.0
100;0.9;5.0;20;5;10;1;1069;0.038405407481373374
100;0.9;1.4000000000000001;20;5;10;1;726;0.038405407481373374
100;0.9;2.0;20;5;10;1;804;0.05376757047392273
100;0.9;5.0;20;10;10;2;1119;0.0
100;0.9;1.4000000000000001;20;10;10;2;879;0.0
100;0.9;2.0;20;10;10;2;958;0.0
100;0.9;5.0;20;10;10;2;1267;0.009380863039399626
100;0.9;1.4000000000000001;20;10;10;2;781;0.009380863039399626
100;0.9;2.0;20;10;10;2;874;0.004690431519699813
100;0.9;5.0;20;20;10;3;1214;0.0
100;0.9;1.4000000000000001;20;20;10;3;901;0.0
100;0.9;2.0;20;20;10;3;964;0.0
100;0.9;5.0;20;20;10;3;1302;0.0
100;0.9;1.4000000000000001;20;20;10;3;901;0.0
100;0.9;2.0;20;20;10;3;985;0.0
250;0.9;5.0;50;5;10;4;426;0.1144512857660268
250;0.9;3.5000000000000004;50;5;10;4;434;0.2854038391886997
250;0.9;5.0;50;5;10;4;445;0.15211879753712423
250;0.9;5.0;50;5;10;4;476;0.40420137631293007
250;0.9;3.5000000000000004;50;5;10;4;420;0.395508873596523
250;0.9;5.0;50;5;10;4;472;0.3781238681637088
250;0.9;5.0;50;10;10;1;492;0.37522609057104017
250;0.9;3.5000000000000004;50;10;10;1;460;0.36623863929987754
250;0.9;5.0;50;10;10;1;436;0.47970521159830587
250;0.9;5.0;50;10;10;1;512;0.7178726702841158
250;0.9;3.5000000000000004;50;10;10;1;444;0.8392032624448114
250;0.9;5.0;50;10;10;1;517;0.8706593418938806
250;0.9;5.0;50;20;10;2;544;0.31903950625221
250;0.9;3.5000000000000004;50;20;10;2;434;0.41868912533350483
250;0.9;5.0;50;20;10;2;498;0.5528946607091195
250;0.9;5.0;50;20;10;2;525;0.6107557298530972
250;0.9;3.5000000000000004;50;20;10;2;441;0.6477225240284162
250;0.9;5.0;50;20;10;2;516;0.6139702336944293
500;0.9;5.0;100;5;10;3;194;0.30613417376602486
500;0.9;7.000000000000001;100;5;10;3;221;0.377538123143087
500;0.9;10.0;100;5;10;3;227;0.38410400354557545
500;0.9;5.0;100;5;10;3;232;0.5453784409316984
500;0.9;7.000000000000001;100;5;10;3;263;0.4920306626614796
500;0.9;10.0;100;5;10;3;289;0.5679486548152525
500;0.9;5.0;100;10;10;4;188;0.639642074082182
500;0.9;7.000000000000001;100;10;10;4;224;0.608173052255679
500;0.9;10.0;100;10;10;4;225;0.6919764255979969
500;0.9;5.0;100;10;10;4;228;0.9738294036962419
500;0.9;7.000000000000001;100;10;10;4;250;1.0046143163526036
500;0.9;10.0;100;10;10;4;275;1.1558024429538465
500;0.9;5.0;100;20;10;1;166;0.7774712938610558
500;0.9;7.000000000000001;100;20;10;1;186;0.913977804862403
500;0.9;10.0;100;20;10;1;220;0.8454679581756367
500;0.9;5.0;100;20;10;1;227;1.0892295849637565
500;0.9;7.000000000000001;100;20;10;1;256;1.1805760472127784
500;0.9;10.0;100;20;10;1;301;1.177496952979665
