LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
100;1.0;20;5;6;2;631;0.0
100;1.0;20;5;7;2;648;0.0
100;1.0;20;5;8;2;630;0.0
100;1.0;20;10;6;3;715;0.010392309690828787
100;1.0;20;10;7;3;605;0.0
100;1.0;20;10;8;3;657;0.0
100;1.0;20;20;6;4;692;0.0
100;1.0;20;20;7;4;664;0.0
100;1.0;20;20;8;4;676;0.018511662347278787
250;1.0;50;5;6;1;243;0.550025805500258
250;1.0;50;5;7;1;254;0.20915501374447232
250;1.0;50;5;8;1;236;0.6268199233716475
250;1.0;50;10;6;2;284;0.5101275318829707
250;1.0;50;10;7;2;283;0.6297709923664122
250;1.0;50;10;8;2;285;0.38077324494500575
250;1.0;50;20;6;3;281;0.3634617454443092
250;1.0;50;20;7;3;283;0.7307873644507308
250;1.0;50;20;8;3;284;0.5171584021926211
500;1.0;100;5;6;4;141;0.48402088571538715
500;1.0;100;5;7;4;141;0.5782360895643734
500;1.0;100;5;8;4;141;0.6658363464762389
500;1.0;100;10;6;1;145;0.9705212190259185
500;1.0;100;10;7;1;145;0.8813526683012212
500;1.0;100;10;8;1;145;1.118251412844527
