LokaleSuche;EliteAnteil;Jobs;Maschinen;Instanz;Wartekapazitaet;Iterationen;RPD
200;0.2;50;5;7;1;305;0.5303573562806262
200;0.4;50;5;7;1;304;0.46312895900561735
200;0.6000000000000001;50;5;7;1;304;0.4870323891478427
200;0.8;50;5;7;1;304;0.41831002748894464
200;1.0;50;5;7;1;304;0.37050316720449383
200;0.2;50;5;7;1;304;0.4347436357117246
200;0.4;50;5;7;1;301;0.35705748774949203
200;0.6000000000000001;50;5;7;1;304;0.23903430142225407
200;0.8;50;5;7;1;304;0.2778773754033704
200;1.0;50;5;7;1;305;0.13146886578223976
200;0.2;50;5;7;1;304;0.4616349946217282
200;0.4;50;5;7;1;304;0.2853471973228158
200;0.6000000000000001;50;5;7;1;304;0.27638341101948133
200;0.8;50;5;7;1;305;0.24351619457392135
200;1.0;50;5;7;1;304;0.09710768495279073
200;0.2;50;5;7;1;304;0.3331540576072667
200;0.4;50;5;7;1;304;0.33614198637504483
200;0.6000000000000001;50;5;7;1;304;0.21214294251225052
200;0.8;50;5;7;1;304;0.13146886578223976
200;1.0;50;5;7;1;306;0.09860164933667981
200;0.2;50;10;7;2;332;1.01930848675348
200;0.4;50;10;7;2;333;0.946340368208352
200;0.6000000000000001;50;10;7;2;332;0.8486753480017961
200;0.8;50;10;7;2;332;0.8913336326897172
200;1.0;50;10;7;2;332;0.6746744499326448
200;0.2;50;10;7;2;332;0.7925460260440054
200;0.4;50;10;7;2;332;0.7678491243825775
200;0.6000000000000001;50;10;7;2;332;0.7375392905253704
200;0.8;50;10;7;2;332;0.5994611585092052
200;1.0;50;10;7;2;332;0.5006735518634935
200;0.2;50;10;7;2;332;0.7105972159856309
200;0.4;50;10;7;2;332;0.7184553210597215
200;0.6000000000000001;50;10;7;2;331;0.5994611585092052
200;0.8;50;10;7;2;332;0.6971261787157611
200;1.0;50;10;7;2;332;0.5938482263134262
200;0.2;50;10;7;2;332;0.8475527615626404
200;0.4;50;10;7;2;332;0.8329591378536148
200;0.6000000000000001;50;10;7;2;332;0.5175123484508307
200;0.8;50;10;7;2;332;0.5972159856308935
200;1.0;50;10;7;2;332;0.6825325550067356
